"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"1","NG_001019","NM_001114726","HGNC:5649","HGNC:37280","0","0","0","0","0","0","0","0","0",0
"2","NM_013333","NM_017868","HGNC:21604","HGNC:23700","0","0.143","0","0","0.036","0","0","0.313","0",0
"3","NM_006796","NM_152284","HGNC:315","HGNC:30599","0.263","0.291","0.515","0.136","0.105","0.054","0.263","0.462","0.716",0
"4","NM_016433","NM_032300","HGNC:24867","HGNC:28135","0.075","1","1","0.028","0.175","0.067","0.132","1","1",0
"5","NM_000146","NM_017679","HGNC:3999","HGNC:14347","0.151","0.259","0.368","0.069","0.073","0.054","0.106","0.478","0.665",0
"6","NM_017592","NM_003994","HGNC:23074","HGNC:6343","0","0.123","1","0","0.023","0.067","0","0.262","1",0
"7","NM_015933","NR_030321","HGNC:26932","HGNC:32846","0","0","0","0","0","0","0","0","0",0
"8","NM_004494","NM_033319","HGNC:4856","HGNC:17879","0.075","0.367","0.195","0.028","0.068","0.067","0.061","0.396","0.602",0
"9","NM_005077","NM_001586","HGNC:11837","HGNC:2563","0","0","0","0","0","0","0.251","0","0.477",0
"10","NM_001274","NM_182688","HGNC:1925","HGNC:12483","0.378","1","0.625","0.195","0.175","0.152","0.303","1","0.559",0
"11","NM_198075","NM_153687","HGNC:25430","HGNC:26430","0","0","0","0","0","0","0","0","0",0
"12","NM_001291324","NM_000396","HGNC:29279","HGNC:2536","0","0","0","0","0","0","0","0","0",0
"13","NM_001040011","NR_026770","HGNC:31412","HGNC:17505","0","0","0","0","0","0","0.188","0.218","0.477",0
"14","NM_001033755","NM_203394","HGNC:24336","HGNC:23820","0","0","0","0","0","0","0","0","0",0
"15","NM_019051","NM_013449","HGNC:16654","HGNC:962","0.389","0.35","0","0.171","0.139","0","0.375","0.521","0",0
"16","NR_132339","NM_002938","HGNC:27409","HGNC:10067","0","0","0","0","0","0","0","0","0",0
"17","NM_004655","NM_006474","HGNC:904","HGNC:29602","0.493","0.217","0.485","0.228","0.042","0.067","0.452","0.405","0.819",0
"18","NM_003960","NM_018559","HGNC:18069","HGNC:20298","0","0","0","0","0","0","0","0","0",0
"19","NM_003757","NM_002351","HGNC:3272","HGNC:10820","0.076","0.569","0.583","0.028","0.104","0.058","0.127","0.708","0.713",0
"20","NR_146118","NM_024086","HGNC:53527","HGNC:28484","0","0","0","0","0","0","0","0","0",0
"21","NM_019054","NM_032327","HGNC:28773","HGNC:20714","0.422","0","1","0.196","0","0.067","0.17","0","1",0
"22","NR_034152","NM_001114403","HGNC:44310","HGNC:37278","0","0","0","0","0","0","0","0","0",0
"23","NM_001144960","NM_003689","HGNC:29642","HGNC:389","0","0","0","0","0","0","0","0","0",0
"24","NM_001242853","NM_015959","HGNC:38058","HGNC:30739","0","0","0","0","0","0","0","0","0",0
"25","NM_001080142","NR_145772","HGNC:33286","HGNC:52242","0","0","0","0","0","0","0","0","0",0
"26","NM_004378","NM_014506","HGNC:2338","HGNC:11995","0.166","0.427","0.523","0.051","0.091","0.041","0.135","0.574","0.634",0
"27","NM_173508","NM_138371","HGNC:23616","HGNC:28255","0","0","0","0","0","0","0","0","0",0
"28","NM_021006","NM_003604","HGNC:10628","HGNC:6128","0.615","0","0","0.148","0","0","0.74","0.235","0",0
"29","NM_016135","NM_174890","HGNC:18160","HGNC:23504","0","0","0","0","0","0","0","0","0",0
"30","NR_023358","NM_017592","HGNC:33559","HGNC:23074","0","0","0","0","0","0","0","0","0",0
"31","NM_004949","NM_001001850","HGNC:3036","HGNC:19300","0","0","1","0","0","0.067","0","0","1",0
"32","NM_032871","NM_001039375","HGNC:13764","HGNC:15899","0.072","0.46","1","0.028","0.086","0.067","0.102","0.74","1",0
"33","NR_030411","NM_001007561","HGNC:33137","HGNC:24868","0","0","0","0","0","0","0","0","0",0
"34","NM_032445","NM_016424","HGNC:29635","HGNC:24309","0","0","0","0","0","0","0.051","0","0",0
"35","NM_020769","NM_001018111","HGNC:29245","HGNC:9171","0","0","0","0","0","0","0","0","0",0
"36","NM_130852","NM_002803","HGNC:15749","HGNC:9548","0.354","0.208","1","0.163","0.043","0.067","0.192","0.324","0.678",0
"37","NM_015150","NM_021952","HGNC:30278","HGNC:3315","0.069","0","0.504","0.028","0","0.242","0.078","0","0.604",0
"38","NM_018975","NM_002143","HGNC:19246","HGNC:5144","0.19","0.4","0.237","0.098","0.06","0.051","0.102","0.524","0.521",0
"39","NM_003655","NM_033446","HGNC:1554","HGNC:23368","0.115","0.459","0.405","0.051","0.103","0.043","0.122","0.579","0.637",0
"40","NM_052875","NM_001080790","HGNC:28119","HGNC:31909","0","0","1","0","0","0.067","0.138","0.216","1",0
"41","NM_003575","NM_080871","HGNC:13076","HGNC:17185","0.38","0","0","0.121","0","0","0.2","0","0",0
"42","NM_024958","NM_014038","HGNC:16229","HGNC:18808","0","0.559","0","0","0.089","0","0","0.501","0.477",0
