,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank
0,G:HGNC:15997,G:HGNC:9226,['GMG'],766.0,0.171,924.0
1,G:HGNC:15997,G:HGNC:9226,['GMDMG'],151.0,0.942,2624.0
2,G:HGNC:15997,G:HGNC:9226,['GMDpDMG'],1616.0,0.688,5182.0
3,G:HGNC:15997,G:HGNC:9226,"['GMG', 'GMDMG']",3352.0,0.439,5978.0
4,G:HGNC:15997,G:HGNC:9226,"['GMG', 'GMDpDMG']",3310.0,0.413,5637.0
5,G:HGNC:15997,G:HGNC:9226,"['GMDMG', 'GMDpDMG']",1192.0,0.905,12535.0
6,G:HGNC:15997,G:HGNC:9226,"['GMG', 'GMDMG', 'GMDpDMG']",2675.0,0.555,6014.0
7,G:HGNC:9304,G:HGNC:9322,['GTG'],18.0,0.967,541.0
8,G:HGNC:9304,G:HGNC:9322,['GMG'],523.0,0.28,726.0
9,G:HGNC:9304,G:HGNC:9322,['GMDMG'],4260.0,0.043,4452.0
10,G:HGNC:9304,G:HGNC:9322,"['GTG', 'GMG']",411.0,0.871,3181.0
11,G:HGNC:9304,G:HGNC:9322,"['GTG', 'GMDMG']",5312.0,0.482,10256.0
12,G:HGNC:9304,G:HGNC:9322,"['GMG', 'GMDMG']",6430.0,0.045,6732.0
13,G:HGNC:9304,G:HGNC:9322,"['GTG', 'GMG', 'GMDMG']",4706.0,0.228,6095.0
14,G:HGNC:9288,G:HGNC:30695,['GMG'],627.0,0.505,1267.0
15,G:HGNC:9288,G:HGNC:30695,['GMDMG'],348.0,0.942,5996.0
16,G:HGNC:9288,G:HGNC:30695,['GMDpDMG'],1012.0,0.861,7303.0
17,G:HGNC:9288,G:HGNC:30695,"['GMG', 'GMDMG']",818.0,0.907,8841.0
18,G:HGNC:9288,G:HGNC:30695,"['GMG', 'GMDpDMG']",586.0,0.928,8155.0
19,G:HGNC:9288,G:HGNC:30695,"['GMDMG', 'GMDpDMG']",352.0,0.974,13289.0
20,G:HGNC:9288,G:HGNC:30695,"['GMG', 'GMDMG', 'GMDpDMG']",442.0,0.948,8551.0
21,G:HGNC:26307,G:HGNC:4879,['GTG'],149.0,0.636,409.0
22,G:HGNC:4627,G:HGNC:7063,['GPdPG'],2.0,0.889,18.0
23,G:HGNC:4627,G:HGNC:7063,['GTG'],46.0,0.887,406.0
24,G:HGNC:4627,G:HGNC:7063,"['GPdPG', 'GTG']",20.0,0.701,67.0
25,G:HGNC:9314,G:HGNC:15566,['GTG'],125.0,0.784,578.0
26,G:HGNC:9314,G:HGNC:15566,['GMDMG'],1773.0,0.296,2517.0
