,gene1,gene2,result
0,G:HGNC:9402,G:HGNC:8591,"Meta path:['GPdPG'], rank is 3 and total rank is 44"
1,G:HGNC:9322,G:HGNC:15566,"Meta path:['GTG'], rank is 49 and total rank is 566"
2,G:HGNC:854,G:HGNC:16832,"Meta path:['GTG', 'GMDpDMG'], rank is 5 and total rank is 11861"
3,G:HGNC:17927,G:HGNC:28407,"Meta path:['GTG'], rank is 15 and total rank is 419"
4,G:HGNC:851,G:HGNC:857,"Meta path:['GDpDG', 'GDpDpDG', 'GTG', 'GMG', 'GMDMG', 'GMDpDMG'], rank is 1 and total rank is 502"
5,G:HGNC:7063,G:HGNC:4638,"Meta path:['GPdPG'], rank is 17 and total rank is 62"
6,G:HGNC:17,G:HGNC:23492,"Meta path:['GTG'], rank is 14 and total rank is 175"
7,G:HGNC:29149,G:HGNC:9303,"Meta path:['GTG'], rank is 25 and total rank is 384"
8,G:HGNC:9038,G:HGNC:27396,"Meta path:['GTG'], rank is 16 and total rank is 364"
9,G:HGNC:16637,G:HGNC:22960,"Meta path:['GTG'], rank is 67 and total rank is 445"
10,G:HGNC:6190,G:HGNC:12434,"Meta path:['GPdPG'], rank is 8 and total rank is 41"
11,G:HGNC:16890,G:HGNC:15566,"Meta path:['GTG'], rank is 28 and total rank is 398"
12,G:HGNC:4123,G:HGNC:4124,"Meta path:['GTG'], rank is 1 and total rank is 375"
13,G:HGNC:10251,G:HGNC:9395,"Meta path:['GTG'], rank is 211 and total rank is 830"
14,G:HGNC:9288,G:HGNC:9306,"Meta path:['GTG'], rank is 29 and total rank is 256"
15,G:HGNC:33437,G:HGNC:4642,"Meta path:['GTG', 'GMG'], rank is 2 and total rank is 1093"
16,G:HGNC:9314,G:HGNC:9316,"Meta path:['GTG'], rank is 10 and total rank is 547"
17,G:HGNC:1470,G:HGNC:1460,"Meta path:['GPdPG'], rank is 4 and total rank is 40"
18,G:HGNC:7715,G:HGNC:7716,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
19,G:HGNC:7460,G:HGNC:7462,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
20,G:HGNC:7455,G:HGNC:7716,"Meta path:['GDG'], rank is 8 and total rank is 12"
21,G:HGNC:815,G:HGNC:13211,"Meta path:['GTG'], rank is 11 and total rank is 455"
22,G:HGNC:9288,G:HGNC:9316,"Meta path:['GTG'], rank is 163 and total rank is 379"
23,G:HGNC:4125,G:HGNC:22946,"Meta path:['GTG'], rank is 16 and total rank is 319"
24,G:HGNC:9306,G:HGNC:9322,"Meta path:['GTG'], rank is 63 and total rank is 530"
25,G:HGNC:9306,G:HGNC:18583,"Meta path:['GTG'], rank is 82 and total rank is 305"
26,G:HGNC:1863,G:HGNC:26459,"Meta path:['GTG'], rank is 7 and total rank is 251"
27,G:HGNC:6512,G:HGNC:17095,"Meta path:['GDpDpDG', 'GPdPG', 'GTG'], rank is 1 and total rank is 1"
28,G:HGNC:16637,G:HGNC:19978,"Meta path:['GTG'], rank is 251 and total rank is 401"
29,G:HGNC:393,G:HGNC:9395,"Meta path:['GTG', 'GMDMG'], rank is 68 and total rank is 14016"
30,G:HGNC:9410,G:HGNC:9416,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
31,G:HGNC:2730,G:HGNC:11809,"Meta path:['GPdPG'], rank is 2 and total rank is 39"
32,G:HGNC:9278,G:HGNC:25415,"Meta path:['GTG'], rank is 11 and total rank is 404"
33,G:HGNC:18133,G:HGNC:9412,"Meta path:['GTG'], rank is 356 and total rank is 814"
34,G:HGNC:6863,G:HGNC:16254,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
35,G:HGNC:391,G:HGNC:16254,"Meta path:['GMG'], rank is 530 and total rank is 818"
36,G:HGNC:8957,G:HGNC:8960,"Meta path:['GTG'], rank is 6 and total rank is 275"
37,G:HGNC:7680,G:HGNC:20779,"Meta path:['GTG'], rank is 3 and total rank is 288"
38,G:HGNC:2285,G:HGNC:2292,"Meta path:['GPdPG'], rank is 1 and total rank is 11"
39,G:HGNC:13480,G:HGNC:6849,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
40,G:HGNC:362,G:HGNC:49151,"Meta path:['GTG'], rank is 24 and total rank is 452"
41,G:HGNC:9402,G:HGNC:9380,"Meta path:['GPdPG'], rank is 41 and total rank is 71"
42,G:HGNC:9288,G:HGNC:9314,"Meta path:['GMG'], rank is 210 and total rank is 501"
43,G:HGNC:14988,G:HGNC:14683,"Meta path:['GTG'], rank is 4 and total rank is 210"
44,G:HGNC:10251,G:HGNC:18133,"Meta path:['GMG'], rank is 13 and total rank is 495"
45,G:HGNC:6190,G:HGNC:3657,"Meta path:['GPdPG'], rank is 8 and total rank is 41"
46,G:HGNC:9157,G:HGNC:24887,"Meta path:['GTG'], rank is 77 and total rank is 242"
47,G:HGNC:7462,G:HGNC:7456,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
48,G:HGNC:29149,G:HGNC:9288,"Meta path:['GTG'], rank is 154 and total rank is 395"
49,G:HGNC:7460,G:HGNC:7456,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
50,G:HGNC:9038,G:HGNC:9039,"Meta path:['GTG'], rank is 40 and total rank is 386"
51,G:HGNC:9288,G:HGNC:28110,"Meta path:['GTG'], rank is 56 and total rank is 283"
52,G:HGNC:3391,G:HGNC:6190,"Meta path:['GPdPG'], rank is 8 and total rank is 41"
53,G:HGNC:11408,G:HGNC:392,"Meta path:['GTG', 'GMDMG', 'GMDpDMG'], rank is 29 and total rank is 15613"
54,G:HGNC:2730,G:HGNC:10481,"Meta path:['GTG'], rank is 113 and total rank is 594"
55,G:HGNC:18485,G:HGNC:26933,"Meta path:['GTG'], rank is 61 and total rank is 334"
56,G:HGNC:3002,G:HGNC:23028,"Meta path:['GTG'], rank is 31 and total rank is 392"
57,G:HGNC:33437,G:HGNC:7063,"Meta path:['GTG'], rank is 105 and total rank is 398"
58,G:HGNC:21328,G:HGNC:7760,"Meta path:['GTG'], rank is 4 and total rank is 318"
59,G:HGNC:2265,G:HGNC:2277,"Meta path:['GTG'], rank is 4 and total rank is 313"
60,G:HGNC:16381,G:HGNC:15566,"Meta path:['GTG'], rank is 18 and total rank is 373"
61,G:HGNC:4123,G:HGNC:21531,"Meta path:['GTG'], rank is 16 and total rank is 321"
62,G:HGNC:9316,G:HGNC:15566,"Meta path:['GTG'], rank is 36 and total rank is 419"
63,G:HGNC:9276,G:HGNC:15566,"Meta path:['GTG'], rank is 15 and total rank is 410"
64,G:HGNC:7455,G:HGNC:7715,"Meta path:['GDG'], rank is 10 and total rank is 13"
65,G:HGNC:9286,G:HGNC:9317,"Meta path:['GTG'], rank is 172 and total rank is 367"
66,G:HGNC:9302,G:HGNC:25415,"Meta path:['GTG'], rank is 136 and total rank is 550"
67,G:HGNC:14269,G:HGNC:19343,"Meta path:['GTG', 'GMDMG'], rank is 3 and total rank is 3303"
68,G:HGNC:7063,G:HGNC:4634,"Meta path:['GPdPG'], rank is 4 and total rank is 19"
69,G:HGNC:4635,G:HGNC:4629,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
70,G:HGNC:4632,G:HGNC:4629,"Meta path:['GPdPG'], rank is 6 and total rank is 19"
71,G:HGNC:7708,G:HGNC:7710,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
72,G:HGNC:15993,G:HGNC:5201,"Meta path:['GTG'], rank is 24 and total rank is 184"
73,G:HGNC:8784,G:HGNC:8786,"Meta path:['GPdPG'], rank is 16 and total rank is 53"
74,G:HGNC:8592,G:HGNC:9380,"Meta path:['GPdPG'], rank is 34 and total rank is 64"
75,G:HGNC:16890,G:HGNC:9317,"Meta path:['GTG'], rank is 114 and total rank is 394"
76,G:HGNC:851,G:HGNC:856,"Meta path:['GTG', 'GMDpDMG'], rank is 1 and total rank is 10229"
77,G:HGNC:2269,G:HGNC:2277,"Meta path:['GTG'], rank is 15 and total rank is 253"
78,G:HGNC:9304,G:HGNC:9318,"Meta path:['GTG'], rank is 122 and total rank is 358"
79,G:HGNC:3391,G:HGNC:10481,"Meta path:['GTG'], rank is 18 and total rank is 568"
80,G:HGNC:9029,G:HGNC:27396,"Meta path:['GTG'], rank is 17 and total rank is 330"
81,G:HGNC:15993,G:HGNC:19650,"Meta path:['GTG'], rank is 4 and total rank is 224"
82,G:HGNC:437,G:HGNC:438,"Meta path:['GTG'], rank is 10 and total rank is 387"
83,G:HGNC:29831,G:HGNC:26404,"Meta path:['GTG'], rank is 2 and total rank is 303"
84,G:HGNC:7455,G:HGNC:7459,"Meta path:['GDG', 'GDpDG', 'GTG'], rank is 1 and total rank is 66"
85,G:HGNC:9157,G:HGNC:18590,"Meta path:['GTG'], rank is 154 and total rank is 304"
86,G:HGNC:2460,G:HGNC:9412,"Meta path:['GTG'], rank is 231 and total rank is 809"
87,G:HGNC:9410,G:HGNC:11399,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
88,G:HGNC:11779,G:HGNC:11778,"Meta path:['GPdPG'], rank is 5 and total rank is 15"
89,G:HGNC:18133,G:HGNC:2933,"Meta path:['GTG'], rank is 117 and total rank is 544"
90,G:HGNC:8794,G:HGNC:8779,"Meta path:['GPdPG'], rank is 6 and total rank is 28"
91,G:HGNC:19875,G:HGNC:19877,"Meta path:['GTG'], rank is 8 and total rank is 244"
92,G:HGNC:28110,G:HGNC:9305,"Meta path:['GTG'], rank is 46 and total rank is 338"
93,G:HGNC:476,G:HGNC:30502,"Meta path:['GMG'], rank is 1 and total rank is 137"
94,G:HGNC:10481,G:HGNC:3657,"Meta path:['GTG'], rank is 193 and total rank is 591"
95,G:HGNC:393,G:HGNC:11842,"Meta path:['GTG'], rank is 34 and total rank is 526"
96,G:HGNC:4635,G:HGNC:7064,"Meta path:['GPdPG'], rank is 1 and total rank is 12"
97,G:HGNC:22140,G:HGNC:9410,"Meta path:['GTG'], rank is 217 and total rank is 513"
98,G:HGNC:6190,G:HGNC:6524,"Meta path:['GPdPG'], rank is 34 and total rank is 56"
99,G:HGNC:30802,G:HGNC:23492,"Meta path:['GTG'], rank is 170 and total rank is 374"
100,G:HGNC:9416,G:HGNC:392,"Meta path:['GTG'], rank is 141 and total rank is 565"
101,G:HGNC:1133,G:HGNC:3657,"Meta path:['GPdPG'], rank is 8 and total rank is 42"
102,G:HGNC:11455,G:HGNC:30004,"Meta path:['GTG'], rank is 13 and total rank is 264"
103,G:HGNC:30167,G:HGNC:24811,"Meta path:['GTG'], rank is 7 and total rank is 355"
104,G:HGNC:16890,G:HGNC:9319,"Meta path:['GTG'], rank is 31 and total rank is 401"
105,G:HGNC:23242,G:HGNC:4126,"Meta path:['GTG'], rank is 5 and total rank is 266"
106,G:HGNC:8931,G:HGNC:8930,"Meta path:['GTG'], rank is 1 and total rank is 378"
107,G:HGNC:7462,G:HGNC:7707,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
108,G:HGNC:25891,G:HGNC:22960,"Meta path:['GMDMG'], rank is 1 and total rank is 2020"
109,G:HGNC:13538,G:HGNC:9412,"Meta path:['GTG'], rank is 162 and total rank is 784"
110,G:HGNC:255,G:HGNC:256,"Meta path:['GMG'], rank is 1 and total rank is 137"
111,G:HGNC:2288,G:HGNC:2267,"Meta path:['GTG'], rank is 28 and total rank is 210"
112,G:HGNC:30488,G:HGNC:19877,"Meta path:['GTG'], rank is 6 and total rank is 234"
113,G:HGNC:4635,G:HGNC:4634,"Meta path:['GPdPG', 'GTG', 'GMG'], rank is 1 and total rank is 8"
114,G:HGNC:7455,G:HGNC:7717,"Meta path:['GDG'], rank is 8 and total rank is 12"
115,G:HGNC:4125,G:HGNC:30488,"Meta path:['GTG'], rank is 25 and total rank is 321"
116,G:HGNC:24550,G:HGNC:17843,"Meta path:['GMDMG'], rank is 2760 and total rank is 3498"
117,G:HGNC:8592,G:HGNC:9410,"Meta path:['GPdPG'], rank is 7 and total rank is 51"
118,G:HGNC:2328,G:HGNC:2329,"Meta path:['GTG'], rank is 9 and total rank is 306"
119,G:HGNC:12513,G:HGNC:13485,"Meta path:['GTG'], rank is 61 and total rank is 492"
120,G:HGNC:9314,G:HGNC:9281,"Meta path:['GTG'], rank is 63 and total rank is 631"
121,G:HGNC:4014,G:HGNC:4017,"Meta path:['GTG'], rank is 4 and total rank is 269"
122,G:HGNC:28526,G:HGNC:8127,"Meta path:['GTG'], rank is 231 and total rank is 472"
123,G:HGNC:393,G:HGNC:9416,"Meta path:['GTG'], rank is 84 and total rank is 506"
124,G:HGNC:817,G:HGNC:812,"Meta path:['GTG', 'GMDMG'], rank is 10 and total rank is 13917"
125,G:HGNC:4236,G:HGNC:30249,"Meta path:['GTG', 'GMG'], rank is 8 and total rank is 2631"
126,G:HGNC:23242,G:HGNC:19877,"Meta path:['GTG'], rank is 4 and total rank is 233"
127,G:HGNC:10251,G:HGNC:16254,"Meta path:['GTG'], rank is 282 and total rank is 738"
128,G:HGNC:4131,G:HGNC:4124,"Meta path:['GTG'], rank is 20 and total rank is 355"
129,G:HGNC:5194,G:HGNC:5198,"Meta path:['GTG'], rank is 7 and total rank is 148"
130,G:HGNC:9278,G:HGNC:9287,"Meta path:['GTG'], rank is 128 and total rank is 472"
131,G:HGNC:24948,G:HGNC:14129,"Meta path:['GTG'], rank is 78 and total rank is 463"
132,G:HGNC:4125,G:HGNC:4130,"Meta path:['GTG'], rank is 18 and total rank is 326"
133,G:HGNC:4123,G:HGNC:22946,"Meta path:['GTG'], rank is 14 and total rank is 316"
134,G:HGNC:9314,G:HGNC:9275,"Meta path:['GTG'], rank is 99 and total rank is 579"
135,G:HGNC:20567,G:HGNC:7852,"Meta path:['GTG', 'GMDMG'], rank is 1 and total rank is 9978"
136,G:HGNC:29149,G:HGNC:9287,"Meta path:['GTG'], rank is 77 and total rank is 463"
137,G:HGNC:13345,G:HGNC:14450,"Meta path:['GTG'], rank is 2 and total rank is 407"
138,G:HGNC:22316,G:HGNC:17726,"Meta path:['GTG'], rank is 67 and total rank is 371"
139,G:HGNC:2460,G:HGNC:8591,"Meta path:['GTG'], rank is 186 and total rank is 695"
140,G:HGNC:4127,G:HGNC:21531,"Meta path:['GTG'], rank is 3 and total rank is 243"
