D:DiseaseID:12603,G:HGNC:4204
D:DiseaseID:12604,G:HGNC:28506
D:DiseaseID:12605,G:HGNC:17728
D:DiseaseID:12606,G:HGNC:31750
D:DiseaseID:12607,G:HGNC:28188
D:DiseaseID:12608,G:HGNC:18666
D:DiseaseID:12609,G:HGNC:24248
D:DiseaseID:12610,G:HGNC:20122
D:DiseaseID:12611,G:HGNC:26107
D:DiseaseID:12612,G:HGNC:24071
D:DiseaseID:12613,G:HGNC:20286
D:DiseaseID:12614,G:HGNC:20152
D:DiseaseID:12615,G:HGNC:31042
D:DiseaseID:12616,G:HGNC:25622
D:DiseaseID:12617,G:HGNC:37216
D:DiseaseID:12618,G:HGNC:29171
D:DiseaseID:12619,G:HGNC:29678
D:DiseaseID:12620,G:HGNC:17574
D:DiseaseID:12621,G:HGNC:2033
D:DiseaseID:12622,G:HGNC:25789
D:DiseaseID:12623,G:HGNC:20185
D:DiseaseID:12624,G:HGNC:21208
D:DiseaseID:12625,G:HGNC:13420
D:DiseaseID:12626,G:HGNC:24713
D:DiseaseID:12627,G:HGNC:28482
D:DiseaseID:12628,G:HGNC:29853
D:DiseaseID:12629,G:HGNC:26899
D:DiseaseID:12630,G:HGNC:10664
D:DiseaseID:12631,G:HGNC:29110
D:DiseaseID:12632,G:HGNC:25740
D:DiseaseID:12633,G:HGNC:15901
D:DiseaseID:12634,G:HGNC:24595
D:DiseaseID:12635,G:HGNC:28005
D:DiseaseID:12636,G:HGNC:27030
D:DiseaseID:12637,G:HGNC:16066
D:DiseaseID:12638,G:HGNC:9350
D:DiseaseID:12639,G:HGNC:25985
D:DiseaseID:12640,G:HGNC:28261
D:DiseaseID:12641,G:HGNC:28957
D:DiseaseID:12643,G:HGNC:25439
D:DiseaseID:12644,G:HGNC:20773
D:DiseaseID:12645,G:HGNC:26624
D:DiseaseID:12646,G:HGNC:28033
D:DiseaseID:12647,G:HGNC:32952
D:DiseaseID:12648,G:HGNC:30839
D:DiseaseID:12649,G:HGNC:13993
D:DiseaseID:12650,G:HGNC:29420
D:DiseaseID:12651,G:HGNC:20041
D:DiseaseID:12652,G:HGNC:17090
D:DiseaseID:12653,G:HGNC:16716
D:DiseaseID:12654,G:HGNC:25491
D:DiseaseID:12655,G:HGNC:33276
D:DiseaseID:12656,G:HGNC:25461
D:DiseaseID:12657,G:HGNC:16110
D:DiseaseID:12658,G:HGNC:26877
D:DiseaseID:12659,G:HGNC:20324
D:DiseaseID:12660,G:HGNC:26222
D:DiseaseID:12661,G:HGNC:18248
D:DiseaseID:12662,G:HGNC:28403
D:DiseaseID:12663,G:HGNC:26926
D:DiseaseID:12664,G:HGNC:29316
D:DiseaseID:12665,G:HGNC:24564
D:DiseaseID:12666,G:HGNC:15559
D:DiseaseID:12667,G:HGNC:15559
D:DiseaseID:12668,G:HGNC:21675
D:DiseaseID:12669,G:HGNC:23063
D:DiseaseID:12670,G:HGNC:26404
D:DiseaseID:12671,G:HGNC:18971
D:DiseaseID:12672,G:HGNC:29508
D:DiseaseID:12673,G:HGNC:26922
D:DiseaseID:12674,G:HGNC:24305
D:DiseaseID:12675,G:HGNC:22954
D:DiseaseID:12676,G:HGNC:2088
D:DiseaseID:12677,G:HGNC:28209
D:DiseaseID:12678,G:HGNC:32434
D:DiseaseID:12679,G:HGNC:24200
D:DiseaseID:12680,G:HGNC:25781
D:DiseaseID:12681,G:HGNC:22923
D:DiseaseID:12682,G:HGNC:26022
D:DiseaseID:12683,G:HGNC:35126
D:DiseaseID:12684,G:HGNC:35126
D:DiseaseID:12685,G:HGNC:21232
D:DiseaseID:12686,G:HGNC:28369
D:DiseaseID:12687,G:HGNC:20091
D:DiseaseID:12688,G:HGNC:21729
D:DiseaseID:12689,G:HGNC:25151
D:DiseaseID:12690,G:HGNC:24725
D:DiseaseID:12691,G:HGNC:24725
D:DiseaseID:12692,G:HGNC:17978
D:DiseaseID:12693,G:HGNC:44204
D:DiseaseID:12694,G:HGNC:17893
D:DiseaseID:12696,G:HGNC:29521
D:DiseaseID:12697,G:HGNC:29357
D:DiseaseID:12698,G:HGNC:20776
D:DiseaseID:12699,G:HGNC:17327
D:DiseaseID:12700,G:HGNC:8261
D:DiseaseID:12701,G:HGNC:23537
D:DiseaseID:12702,G:HGNC:29090
D:DiseaseID:12703,G:HGNC:37234
D:DiseaseID:12704,G:HGNC:28385
D:DiseaseID:12705,G:HGNC:25902
D:DiseaseID:12706,G:HGNC:15578
D:DiseaseID:12707,G:HGNC:24858
D:DiseaseID:12708,G:HGNC:24488
D:DiseaseID:12709,G:HGNC:29165
D:DiseaseID:12710,G:HGNC:23215
D:DiseaseID:12711,G:HGNC:33630
D:DiseaseID:12712,G:HGNC:29077
D:DiseaseID:12713,G:HGNC:29300
D:DiseaseID:12714,G:HGNC:23639
D:DiseaseID:12715,G:HGNC:29478
D:DiseaseID:12716,G:HGNC:21701
D:DiseaseID:12717,G:HGNC:21701
D:DiseaseID:12718,G:HGNC:18625
D:DiseaseID:12719,G:HGNC:27232
D:DiseaseID:12720,G:HGNC:25903
D:DiseaseID:12721,G:HGNC:10669
D:DiseaseID:12722,G:HGNC:20788
D:DiseaseID:12723,G:HGNC:30500
D:DiseaseID:12724,G:HGNC:29679
D:DiseaseID:12725,G:HGNC:19351
D:DiseaseID:12726,G:HGNC:8149
D:DiseaseID:12727,G:HGNC:26600
D:DiseaseID:12728,G:HGNC:24268
D:DiseaseID:12729,G:HGNC:18423
D:DiseaseID:12730,G:HGNC:8724
D:DiseaseID:12731,G:HGNC:25539
D:DiseaseID:12732,G:HGNC:24123
D:DiseaseID:12733,G:HGNC:29022
D:DiseaseID:12734,G:HGNC:29022
D:DiseaseID:12735,G:HGNC:24284
D:DiseaseID:12736,G:HGNC:18188
D:DiseaseID:12737,G:HGNC:19684
D:DiseaseID:12738,G:HGNC:6315
D:DiseaseID:12739,G:HGNC:26019
D:DiseaseID:12740,G:HGNC:18119
D:DiseaseID:12741,G:HGNC:19661
D:DiseaseID:12742,G:HGNC:32550
D:DiseaseID:12743,G:HGNC:5005
D:DiseaseID:12744,G:HGNC:3544
D:DiseaseID:12745,G:HGNC:3528
D:DiseaseID:12746,G:HGNC:15808
D:DiseaseID:12747,G:HGNC:1246
D:DiseaseID:12748,G:HGNC:1421
D:DiseaseID:12749,G:HGNC:29256
D:DiseaseID:12750,G:HGNC:32456
D:DiseaseID:12751,G:HGNC:4035
D:DiseaseID:12752,G:HGNC:4035
D:DiseaseID:12753,G:HGNC:26270
D:DiseaseID:12754,G:HGNC:26270
D:DiseaseID:12755,G:HGNC:19869
D:DiseaseID:12756,G:HGNC:28027
D:DiseaseID:12757,G:HGNC:29203
D:DiseaseID:12758,G:HGNC:29203
D:DiseaseID:12759,G:HGNC:19046
D:DiseaseID:12760,G:HGNC:735
D:DiseaseID:12761,G:HGNC:18249
D:DiseaseID:12762,G:HGNC:22407
D:DiseaseID:12763,G:HGNC:38221
D:DiseaseID:12764,G:HGNC:20330
D:DiseaseID:12765,G:HGNC:20330
D:DiseaseID:12766,G:HGNC:28769
D:DiseaseID:12767,G:HGNC:3013
D:DiseaseID:12768,G:HGNC:29242
D:DiseaseID:12769,G:HGNC:20509
D:DiseaseID:12770,G:HGNC:14951
D:DiseaseID:12771,G:HGNC:39080
D:DiseaseID:12772,G:HGNC:8840
D:DiseaseID:12773,G:HGNC:2570
D:DiseaseID:12774,G:HGNC:2873
D:DiseaseID:12775,G:HGNC:25763
D:DiseaseID:12776,G:HGNC:31555
D:DiseaseID:12777,G:HGNC:26169
D:DiseaseID:12778,G:HGNC:26200
D:DiseaseID:12779,G:HGNC:7765
D:DiseaseID:12780,G:HGNC:21474
D:DiseaseID:12781,G:HGNC:26444
D:DiseaseID:12782,G:HGNC:4851
D:DiseaseID:12783,G:HGNC:23805
D:DiseaseID:12784,G:HGNC:18318
D:DiseaseID:12785,G:HGNC:25382
D:DiseaseID:12786,G:HGNC:26257
D:DiseaseID:12787,G:HGNC:25966
D:DiseaseID:12788,G:HGNC:21686
D:DiseaseID:12789,G:HGNC:8889
D:DiseaseID:12790,G:HGNC:1268
D:DiseaseID:12791,G:HGNC:17341
D:DiseaseID:12792,G:HGNC:30578
D:DiseaseID:12793,G:HGNC:15673
D:DiseaseID:12794,G:HGNC:17697
D:DiseaseID:12795,G:HGNC:29685
D:DiseaseID:12796,G:HGNC:25695
D:DiseaseID:12797,G:HGNC:9587
D:DiseaseID:12798,G:HGNC:18420
D:DiseaseID:12799,G:HGNC:6722
D:DiseaseID:12800,G:HGNC:32698
D:DiseaseID:12801,G:HGNC:18398
D:DiseaseID:12802,G:HGNC:18398
D:DiseaseID:12803,G:HGNC:26887
D:DiseaseID:12804,G:HGNC:24945
D:DiseaseID:12805,G:HGNC:9752
D:DiseaseID:12806,G:HGNC:21478
D:DiseaseID:12807,G:HGNC:21066
D:DiseaseID:12808,G:HGNC:26582
D:DiseaseID:12809,G:HGNC:3604
D:DiseaseID:12810,G:HGNC:25784
D:DiseaseID:12811,G:HGNC:35
D:DiseaseID:12812,G:HGNC:20093
D:DiseaseID:12813,G:HGNC:18505
D:DiseaseID:12814,G:HGNC:29634
D:DiseaseID:12815,G:HGNC:30788
D:DiseaseID:12816,G:HGNC:27962
D:DiseaseID:12817,G:HGNC:23096
D:DiseaseID:12818,G:HGNC:21219
D:DiseaseID:12819,G:HGNC:25567
D:DiseaseID:12820,G:HGNC:3542
