G:HGNC:5,P:P04217
G:HGNC:24086,P:Q9NQ94
G:HGNC:7,P:P01023
G:HGNC:23336,P:A8K2U0
G:HGNC:30005,P:U3KPV4
G:HGNC:18149,P:Q9NPC4
G:HGNC:17968,P:Q9UNA3
G:HGNC:13666,P:Q9NRG9
G:HGNC:21298,P:Q86V21
G:HGNC:17,P:P22760
G:HGNC:24427,P:Q6P093
G:HGNC:32037,P:Q5VUY0
G:HGNC:32038,P:Q5VUY2
G:HGNC:17929,P:Q8N5Z0
G:HGNC:25662,P:Q6PD74
G:HGNC:19679,P:Q2M2I8
G:HGNC:30205,P:Q9H7C9
G:HGNC:18,P:Q13685
G:HGNC:19,P:Q16613
G:HGNC:15886,P:Q9Y312
G:HGNC:33842,P:Q4LEZ3
G:HGNC:20,P:P49588
G:HGNC:21022,P:Q5JTZ9
G:HGNC:28417,P:Q9BTE6
G:HGNC:23993,P:Q4L235
G:HGNC:14235,P:Q9NRN7
G:HGNC:17366,P:Q9UDR5
G:HGNC:19235,P:Q9NY61
G:HGNC:21,P:Q6ZMQ8
G:HGNC:23,P:P80404
G:HGNC:29,P:O95477
G:HGNC:32,P:Q9BZC7
G:HGNC:33,P:Q99758
G:HGNC:34,P:P78363
G:HGNC:35,P:Q8WWZ7
G:HGNC:36,P:Q8N139
G:HGNC:37,P:Q8IZY2
G:HGNC:38,P:O94911
G:HGNC:39,P:Q8IUA7
G:HGNC:30,P:Q8WWZ4
G:HGNC:31,P:Q4W5N1
G:HGNC:14637,P:Q86UK0
G:HGNC:14638,P:Q86UQ4
G:HGNC:40,P:P08183
G:HGNC:45,P:P21439
G:HGNC:46,P:Q2M3G0
G:HGNC:47,P:Q9NP58
G:HGNC:48,P:O75027
G:HGNC:49,P:Q9NUT2
G:HGNC:50,P:Q9NP78
G:HGNC:41,P:Q9NRK6
G:HGNC:42,P:O95342
G:HGNC:51,P:P33527
G:HGNC:53,P:Q92887
G:HGNC:54,P:O15438
G:HGNC:55,P:O15439
G:HGNC:56,P:O15440
G:HGNC:57,P:O95255
G:HGNC:59,P:Q09428
G:HGNC:60,P:O60706
G:HGNC:52,P:Q5T3U5
G:HGNC:14639,P:Q96J66
G:HGNC:14640,P:Q96J65
G:HGNC:61,P:P33897
G:HGNC:66,P:Q9UBJ2
G:HGNC:67,P:P28288
G:HGNC:68,P:O14678
G:HGNC:69,P:P61221
G:HGNC:70,P:Q8NE71
G:HGNC:71,P:Q9UG63
G:HGNC:72,P:Q9NUQ8
G:HGNC:73,P:P45844
G:HGNC:74,P:Q9UNQ0
G:HGNC:13884,P:Q9H172
G:HGNC:13886,P:Q9H222
G:HGNC:13887,P:Q9H221
G:HGNC:17553,P:Q96SE0
G:HGNC:18717,P:P08910
G:HGNC:18718,P:Q8WU67
G:HGNC:20154,P:Q8TB40
G:HGNC:21396,P:Q8WTS1
G:HGNC:21398,P:Q9BV23
G:HGNC:23759,P:Q96I13
G:HGNC:25656,P:Q9NUJ1
G:HGNC:16407,P:Q8NFV4
G:HGNC:15868,P:Q8N2K0
G:HGNC:19837,P:Q7Z5M8
G:HGNC:20293,P:Q7L211
G:HGNC:24538,P:Q9BUJ0
G:HGNC:28235,P:Q96IU4
G:HGNC:26971,P:Q6UXT9
G:HGNC:13921,P:O95870
G:HGNC:16128,P:Q9H3Z7
G:HGNC:28756,P:Q96GS6
G:HGNC:24278,P:Q5VST6
G:HGNC:26925,P:Q6PCB6
G:HGNC:26111,P:Q0P651
G:HGNC:11320,P:Q8IZP0
G:HGNC:24011,P:Q9NYB9
G:HGNC:29859,P:Q9P2A4
G:HGNC:17265,P:Q7Z7G0
G:HGNC:1364,P:Q9NX38
G:HGNC:76,P:P00519
G:HGNC:77,P:P42684
G:HGNC:78,P:O14639
G:HGNC:19195,P:Q6H8Q1
G:HGNC:29132,P:O94929
G:HGNC:79,P:P16442
G:HGNC:81,P:Q12979
G:HGNC:30655,P:Q8N0Z2
G:HGNC:21230,P:Q9P1F3
G:HGNC:25829,P:Q6UWZ7
G:HGNC:28975,P:Q15018
G:HGNC:17369,P:Q9ULW3
G:HGNC:18275,P:Q969K4
G:HGNC:23842,P:Q8N961
G:HGNC:82,P:P09110
G:HGNC:83,P:P42765
G:HGNC:84,P:Q13085
G:HGNC:85,P:O00763
G:HGNC:87,P:Q9UKU7
G:HGNC:21497,P:Q9H845
G:HGNC:21597,P:Q6JQN1
G:HGNC:30211,P:Q709F0
G:HGNC:88,P:P28330
G:HGNC:89,P:P11310
G:HGNC:90,P:P16219
G:HGNC:91,P:P45954
G:HGNC:92,P:P49748
G:HGNC:319,P:P16112
G:HGNC:16467,P:Q15027
G:HGNC:16469,P:Q15057
G:HGNC:16754,P:Q96P50
G:HGNC:93,P:P24752
G:HGNC:94,P:Q9BWD1
G:HGNC:15453,P:Q9H3P7
G:HGNC:23337,P:Q8NC06
G:HGNC:23338,P:Q5T8D3
G:HGNC:23339,P:Q9BR61
G:HGNC:17715,P:Q8N6N7
G:HGNC:23989,P:Q96QU6
G:HGNC:34391,P:Q4AC99
G:HGNC:25070,P:Q96AP0
G:HGNC:2707,P:P12821
G:HGNC:13557,P:Q9BYF1
G:HGNC:18356,P:Q8TDN7
G:HGNC:23675,P:Q5QJU3
G:HGNC:16066,P:Q9NUN7
G:HGNC:108,P:P22303
G:HGNC:17066,P:Q9UKV3
G:HGNC:4035,P:Q16570
G:HGNC:1565,P:O00590
G:HGNC:23692,P:P25106
G:HGNC:1611,P:Q9NPB9
G:HGNC:115,P:P53396
G:HGNC:19288,P:Q8TDX5
G:HGNC:117,P:P21399
G:HGNC:118,P:Q99798
G:HGNC:33904,P:A6NK06
G:HGNC:33128,P:Q86TX2
G:HGNC:18431,P:P49753
G:HGNC:19748,P:Q8N9L9
G:HGNC:33159,P:Q3I5F7
G:HGNC:24157,P:O00154
G:HGNC:15919,P:O14734
G:HGNC:17152,P:Q9Y305
G:HGNC:18156,P:Q8WXI4
G:HGNC:24436,P:Q8WYK0
G:HGNC:20999,P:Q9NPJ3
G:HGNC:119,P:Q15067
G:HGNC:120,P:Q99424
G:HGNC:121,P:O15254
G:HGNC:25621,P:Q9NUZ1
G:HGNC:122,P:P24666
G:HGNC:123,P:P11117
G:HGNC:14376,P:Q9BZG2
G:HGNC:124,P:P13686
G:HGNC:29609,P:Q9NPH0
G:HGNC:33781,P:Q6ZNF0
G:HGNC:125,P:P15309
G:HGNC:126,P:P10323
G:HGNC:17195,P:Q8NEB7
G:HGNC:127,P:P26436
G:HGNC:29567,P:Q96GR2
