HGNC ID,RefSeq IDs,Enzyme IDs
HGNC:18149,NM_017436,2.4.1.228
HGNC:21298,NM_023928,6.2.1.16
HGNC:17,NM_001086,3.1.1.3
HGNC:17929,NM_016228,"2.6.1.39, 2.6.1.7"
HGNC:19,NM_001088,2.3.1.87
HGNC:20,NM_001605,6.1.1.7
HGNC:21022,NM_020745,6.1.1.7
HGNC:23993,NM_181806,1.2.1.31
HGNC:14235,NM_015423,2.7.8.7
HGNC:23,NM_020686,2.6.1.19
HGNC:21398,NM_020676,3.1.1.23
HGNC:15868,NM_015600,3.1.1.23
HGNC:79,NM_020469,"2.4.1.40, 2.4.1.37"
HGNC:82,NM_001607,2.3.1.16
HGNC:83,NM_006111,2.3.1.16
HGNC:84,NM_198836,6.4.1.2
HGNC:85,NM_001093,6.4.1.2
HGNC:88,NM_001608,1.3.8.8
HGNC:90,NM_000017,1.3.8.1
HGNC:91,NM_001609,1.3.99.-
HGNC:93,NM_000019,2.3.1.9
HGNC:94,NM_005891,2.3.1.9
HGNC:2707,NM_000789,3.4.15.1
HGNC:18356,NM_133492,3.5.1.23
HGNC:23675,NM_001010887,3.5.1.23
HGNC:16066,NM_018367,3.5.1.23
HGNC:108,NM_015831,3.1.1.7
HGNC:115,NM_001096,2.3.3.8
HGNC:117,NM_002197,4.2.1.3
HGNC:118,NM_001098,4.2.1.3
HGNC:33904,NM_001258406,4.1.1.6
HGNC:15919,NM_183386,3.1.2.27
HGNC:18156,NM_015547,3.1.2.-
HGNC:120,NM_003500,1.17.99.3
HGNC:122,NM_004300,3.1.3.2
HGNC:123,NM_001610,3.1.3.2
HGNC:125,NM_001099,3.1.3.2
HGNC:126,NM_001097,3.4.21.10
HGNC:3569,NM_001995,6.2.1.3
HGNC:18049,NM_052956,6.2.1.2
HGNC:16091,NM_032501,6.2.1.1
HGNC:15814,NM_018677,6.2.1.1
HGNC:175,NM_000020,2.7.11.30
HGNC:177,NM_000666,3.5.1.14
HGNC:24104,NM_080658,3.5.1.114
HGNC:186,NM_000022,3.5.4.4
HGNC:225,NM_001111,3.5.4.-
HGNC:226,NM_015833,3.5.-.-
HGNC:227,NM_018702,3.5.-.-
HGNC:232,NM_021116,4.6.1.1
HGNC:233,NM_020546,4.6.1.1
HGNC:236,NM_183357,4.6.1.1
HGNC:237,NM_020983,4.6.1.1
HGNC:21285,NM_018417,4.6.1.1
HGNC:249,NM_000667,1.1.1.1
HGNC:250,NM_000668,1.1.1.1
HGNC:251,NM_000669,1.1.1.1
HGNC:252,NM_000670,1.1.1.1
HGNC:253,NM_000671,1.1.1.284
HGNC:255,NM_000672,1.1.1.1
