"","gene1","gene2","HGNCID1","HGNCID2","Lin_BP","Lin_CC","Lin_MF","Resnik_BP","Resnik_CC","Resnik_MF","Wang_BP","Wang_CC","Wang_MF","Label"
"1","NM_000340","NM_002066","HGNC:11006","HGNC:4375","0.121","0.435","0","0.054","0.152","0","0.142","0.619","0",0
"2","NM_001255","NR_029506","HGNC:1723","HGNC:31631","0.314","0","0.091","0.157","0","0.03","0.219","0","0.276",0
"3","NM_177403","NM_182751","HGNC:30513","HGNC:18043","0.24","0.344","0","0.11","0.087","0","0.187","0.579","0",0
"4","NM_032808","NM_003321","HGNC:21205","HGNC:12420","0.054","0.771","1","0.028","0.098","0.067","0.034","0.529","1",0
"5","NM_175747","NM_002315","HGNC:18003","HGNC:6641","0","0","1","0","0","0.067","0","0","1",0
"6","NM_182658","NM_020408","HGNC:16178","HGNC:21365","0","0.351","0","0","0.079","0","0.119","0.451","0",0
"7","NM_004195","NM_001113402","HGNC:11914","HGNC:27281","0","0","0","0","0","0","0","0","0",0
"8","NM_002960","NM_002767","HGNC:10493","HGNC:9467","0","0","0","0","0","0","0","0","0",0
"9","NM_006973","NM_004236","HGNC:13095","HGNC:30747","0","0","1","0","0","0.067","0","0","1",0
"10","NR_026677","NM_024078","HGNC:23642","HGNC:28461","0","0","0","0","0","0","0","0","0",0
"11","NM_153365","NM_152269","HGNC:26887","HGNC:26784","0","0.206","0","0","0.06","0","0","0.407","0",0
"12","NM_178833","NM_000887","HGNC:25143","HGNC:6152","0.232","0.521","0.153","0.096","0.141","0.034","0.268","0.563","0.371",0
"13","NG_001019","NM_032899","HGNC:5654","HGNC:28210","0","0","0","0","0","0","0","0","0",0
"14","NM_001302","NM_007202","HGNC:2257","HGNC:368","0.511","0","0.221","0.137","0","0.067","0.664","0.324","0.634",0
"15","NG_001333","NM_017852","HGNC:12210","HGNC:22948","0","0","0","0","0","0","0","0","0",0
"16","NM_002975","NM_018089","HGNC:10576","HGNC:25527","0.066","0","0.247","0.028","0","0.067","0.1","0.357","0.69",0
