,gene1,gene2,label,meta_path,rank_percent
0,G:HGNC:6524,G:HGNC:6193,1,"['GDpDpDG', 'GTG']",0.999
1,G:HGNC:9314,G:HGNC:15566,1,['GTG'],0.784
2,G:HGNC:9036,G:HGNC:9038,1,"['GTG', 'GMDMG']",0.995
3,G:HGNC:7643,G:HGNC:26274,1,['GTG'],0.997
4,G:HGNC:24791,G:HGNC:17825,1,['GTG'],0.956
5,G:HGNC:8905,G:HGNC:8906,1,"['GTG', 'GMDMG']",1.0
6,G:HGNC:3763,G:HGNC:3387,1,['GTG'],0.921
7,G:HGNC:8590,G:HGNC:9381,1,"['GTG', 'GMDpDMG']",0.971
8,G:HGNC:815,G:HGNC:13211,1,['GTG'],0.976
9,G:HGNC:9299,G:HGNC:9304,1,"['GTG', 'GMDMG']",0.999
10,G:HGNC:30488,G:HGNC:19877,1,['GTG'],0.974
11,G:HGNC:13480,G:HGNC:9395,1,['GTG'],0.695
12,G:HGNC:8885,G:HGNC:8887,1,"['GTG', 'GMG']",0.995
13,G:HGNC:21531,G:HGNC:19873,1,['GTG'],0.981
14,G:HGNC:393,G:HGNC:2460,1,['GTG'],0.627
15,G:HGNC:476,G:HGNC:475,1,"['GTG', 'GMG']",0.999
16,G:HGNC:17820,G:HGNC:8022,1,"['GTG', 'GMDMG']",0.996
17,G:HGNC:9410,G:HGNC:16254,1,['GPdPG'],0.863
18,G:HGNC:2269,G:HGNC:2288,1,['GTG'],0.761
19,G:HGNC:9276,G:HGNC:25415,1,['GTG'],0.918
20,G:HGNC:22316,G:HGNC:18126,1,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",0.988
21,G:HGNC:24791,G:HGNC:18555,1,['GTG'],0.878
22,G:HGNC:9286,G:HGNC:9305,1,['GTG'],0.687
23,G:HGNC:8590,G:HGNC:11399,1,['GPdPG'],0.963
24,G:HGNC:9288,G:HGNC:9303,1,"['GTG', 'GMG', 'GMDpDMG']",0.993
25,G:HGNC:29149,G:HGNC:9276,1,['GTG'],0.942
26,G:HGNC:16890,G:HGNC:9288,1,"['GTG', 'GMDMG', 'GMDpDMG']",0.704
27,G:HGNC:9288,G:HGNC:9287,1,['GTG'],0.829
28,G:HGNC:9410,G:HGNC:11399,1,['GPdPG'],0.863
29,G:HGNC:25135,G:HGNC:22316,1,['GTG'],0.943
30,G:HGNC:10481,G:HGNC:3657,1,['GTG'],0.673
31,G:HGNC:22140,G:HGNC:30045,1,['GTG'],0.618
32,G:HGNC:18133,G:HGNC:30045,1,"['GTG', 'GMG']",0.957
33,G:HGNC:6560,G:HGNC:9974,1,['GTG'],0.991
34,G:HGNC:9278,G:HGNC:9314,1,['GMDMG'],0.778
35,G:HGNC:7680,G:HGNC:7682,1,['GTG'],0.982
36,G:HGNC:24175,G:HGNC:9640,1,"['GTG', 'GMG', 'GMDMG']",1.0
37,G:HGNC:15993,G:HGNC:6938,1,['GTG'],0.88
38,G:HGNC:23133,G:HGNC:29830,1,['GTG'],0.529
39,G:HGNC:6190,G:HGNC:2731,1,['GPdPG'],0.744
40,G:HGNC:11408,G:HGNC:8591,1,"['GTG', 'GMDpDMG']",0.999
41,G:HGNC:13536,G:HGNC:3706,1,['GTG'],0.942
