RefSeq1,RefSeq2,gene1,gene2,label
NM_001642,NM_004058,HGNC:598,HGNC:1487,0
NG_000833,NM_138468,HGNC:5746,HGNC:14442,0
NM_173852,NM_018244,HGNC:28942,HGNC:15891,0
NM_145312,NM_199286,HGNC:23440,HGNC:19199,0
NM_006823,NM_024759,HGNC:9017,HGNC:25854,0
NM_152441,NM_014641,HGNC:28624,HGNC:21163,0
NM_002027,NR_036267,HGNC:3782,HGNC:38233,0
NM_001355256,NM_001390,HGNC:24742,HGNC:3057,0
NM_001747,NM_033200,HGNC:1474,HGNC:25096,0
NM_025015,NR_004399,HGNC:19022,HGNC:32745,0
NM_015186,NM_020382,HGNC:1908,HGNC:29489,0
NM_003217,NM_030900,HGNC:11723,HGNC:17443,0
NM_001004738,NM_007045,HGNC:8350,HGNC:17012,0
NM_152374,NR_027273,HGNC:26800,HGNC:23130,0
NM_152618,NM_003317,HGNC:26648,HGNC:11825,0
NM_152758,NM_000732,HGNC:26465,HGNC:1673,0
NM_001001913,NM_019070,HGNC:14853,HGNC:18684,0
NM_152317,NM_032825,HGNC:22952,HGNC:17409,0
NR_027260,NR_003342.1,HGNC:23134,HGNC:33044,0
NM_005217,NM_014565,HGNC:2762,HGNC:8179,0
NM_022064,NR_107003,HGNC:21148,HGNC:50166,0
NM_018134,NM_003724,HGNC:25545,HGNC:6199,0
NG_023160,NM_001102562,HGNC:37170,HGNC:33609,0
NM_001136483,NM_152307,HGNC:37241,HGNC:23790,0
NM_016006,NM_018933,HGNC:21396,HGNC:8684,0
NM_001747,NM_152388,HGNC:1474,HGNC:14432,0
NM_145725,NM_002053,HGNC:12033,HGNC:4182,0
NR_002328,NR_023917,HGNC:16341,HGNC:9589,0
NM_017949,NM_138416,HGNC:31350,HGNC:25147,0
NM_006989,NM_006942,HGNC:23181,HGNC:11196,0
NM_004200,NM_012096,HGNC:11514,HGNC:24035,0
NR_003301.1,NM_024713,HGNC:33028,HGNC:26199,0
NM_001080440,NM_022769,HGNC:34071,HGNC:26148,0
NM_001024678,NM_014175,HGNC:28947,HGNC:14054,0
NM_020178,NM_147174,HGNC:1369,HGNC:19133,0
NM_001099851,NM_005915,HGNC:29485,HGNC:6949,0
NM_032604,NR_030587,HGNC:17553,HGNC:33642,0
NM_002569,NM_198082,HGNC:8568,HGNC:27564,0
NM_012106,NM_152906,HGNC:17146,HGNC:25439,0
NM_005759,NM_016338,HGNC:24011,HGNC:20628,0
NM_006423,NM_002466,HGNC:9794,HGNC:7548,0
NM_152334,NR_003019,HGNC:24728,HGNC:32663,0
NM_002262,NM_000700,HGNC:6378,HGNC:533,0
NM_015291,NM_024821,HGNC:29157,HGNC:26185,0
NM_032795,NR_002579,HGNC:25898,HGNC:32734,0
NM_031952,NM_017838,HGNC:22988,HGNC:14377,0
NM_001651,NM_005369,HGNC:638,HGNC:6940,0
NM_182946,NM_183241,HGNC:14906,HGNC:27849,0
NR_039605,NT_010859,HGNC:41882,HGNC:31093,0
NM_001130688,NM_005807,HGNC:5000,HGNC:9364,0
NM_033542,NM_032413,HGNC:16162,HGNC:29898,0
NG_001019,NM_019107,HGNC:5580,HGNC:16948,0
NM_001026,NM_183384,HGNC:10411,HGNC:10057,0
NM_018262,NG_032078,HGNC:13556,HGNC:32268,0
NM_024773,NM_004359,HGNC:25840,HGNC:1734,0
NM_014755,NM_021210,HGNC:30784,HGNC:19894,0
NM_014967,NM_001164404,HGNC:29170,HGNC:32206,0
NM_134424,NM_004375,HGNC:9824,HGNC:2261,0
NM_021082,NM_001014999,HGNC:10921,HGNC:20922,0
NM_198085,NR_027128,HGNC:22411,HGNC:15707,0
NM_032792,NM_144699,HGNC:23715,HGNC:14073,0
NM_002285,NM_030928,HGNC:6473,HGNC:24576,0
NM_133455,NM_001099407,HGNC:18036,HGNC:15858,0
NG_001333,NM_018986,HGNC:12227,HGNC:26009,0
NM_012242,NG_000834,HGNC:2891,HGNC:5816,0
NM_018231,NM_014055,HGNC:25582,HGNC:14313,0
NR_030318,NM_001001995,HGNC:32845,HGNC:4461,0
NM_133467,NM_005584,HGNC:18696,HGNC:6757,0
NM_001002860,NM_001005407,HGNC:18269,HGNC:1395,0
NM_006958,NM_052972,HGNC:12947,HGNC:29480,0
