HGNC ID,Approved symbol,RefSeq IDs,Enzyme IDs,Gene group ID,Gene group name,RefSeq(supplied by NCBI)
HGNC:5,A1BG,NM_130786,,594,Immunoglobulin like domain containing,NM_130786
HGNC:24086,A1CF,NM_014576,,725,RNA binding motif containing,NM_001198818
HGNC:7,A2M,NM_000014,,1234,"C3 and PZP like, alpha-2-macroglobulin domain containing",NM_000014
HGNC:23336,A2ML1,NM_144670,,1234,"C3 and PZP like, alpha-2-macroglobulin domain containing",NM_001282424
HGNC:30005,A3GALT2,NM_001080438,,429,Glycosyltransferase family 6,NM_001080438
HGNC:17968,A4GNT,NM_016161,,442,"Alpha 1,4-glycosyltransferases",NM_016161
HGNC:24427,AADACL2,NM_207365,,465,Arylacetamide deacetylase family,NM_207365
HGNC:32037,AADACL3,NM_001103170,,465,Arylacetamide deacetylase family,NM_001103170
HGNC:32038,AADACL4,NM_001013630,,465,Arylacetamide deacetylase family,NM_001013630
HGNC:25662,AAGAB,NM_024666,,,,NM_001271885
HGNC:19679,AAK1,NM_014911,,1835,Small nucleolar RNA protein coding host genes,NM_014911
HGNC:30205,AAMDC,NM_024684,,,,NM_001316957
HGNC:18,AAMP,NM_001087,,362,WD repeat domain containing,NM_001087
HGNC:15886,AAR2,NM_015511,,,,NM_001271874
HGNC:33842,AARD,NM_001025357,,,,NM_001025357
HGNC:28417,AARSD1,NM_001261434,,,,NM_001261434
HGNC:17366,AASS,NM_005763,,,,NM_005763
HGNC:19235,AATF,NM_012138,,1691,MicroRNA protein coding host genes,NM_012138
HGNC:21,AATK,NM_004920,,694|321|1691,Protein phosphatase 1 regulatory subunits|Receptor tyrosine kinases|MicroRNA protein coding host genes,NM_001080395
HGNC:29,ABCA1,NM_005502,,805,ATP binding cassette subfamily A,NM_005502
HGNC:32,ABCA2,NM_001606,,805,ATP binding cassette subfamily A,NM_001606
HGNC:33,ABCA3,NM_001089,,805,ATP binding cassette subfamily A,NM_001089
HGNC:34,ABCA4,NM_000350,,805,ATP binding cassette subfamily A,NM_000350
HGNC:35,ABCA5,NM_018672,,805,ATP binding cassette subfamily A,NM_018672
HGNC:36,ABCA6,NM_080284,,805|1691,ATP binding cassette subfamily A|MicroRNA protein coding host genes,NM_080284
HGNC:37,ABCA7,NM_019112,,805,ATP binding cassette subfamily A,NM_019112
HGNC:38,ABCA8,NM_007168,,805,ATP binding cassette subfamily A,NM_001288985
HGNC:39,ABCA9,NM_172386,,805,ATP binding cassette subfamily A,NM_080283
HGNC:30,ABCA10,NM_080282,,805,ATP binding cassette subfamily A,NM_080282
HGNC:31,ABCA11P,NR_002451.2,,805,ATP binding cassette subfamily A,NR_002451
HGNC:14637,ABCA12,NM_173076,,805,ATP binding cassette subfamily A,NM_015657
HGNC:14638,ABCA13,NM_152701,,805,ATP binding cassette subfamily A,NM_152701
HGNC:40,ABCB1,NM_000927,,806|471,ATP binding cassette subfamily B|CD molecules,NM_000927
HGNC:45,ABCB4,NM_000443,,806,ATP binding cassette subfamily B,NM_000443
HGNC:46,ABCB5,NM_178559,,806,ATP binding cassette subfamily B,NM_001163941
HGNC:47,ABCB6,NM_005689,,806|454,ATP binding cassette subfamily B|Blood group antigens,NM_001349828
HGNC:48,ABCB7,NM_004299,,806,ATP binding cassette subfamily B,NM_001271696
HGNC:49,ABCB8,NM_007188,,806,ATP binding cassette subfamily B,NM_001282291
HGNC:50,ABCB9,NM_019624,,806,ATP binding cassette subfamily B,NM_001243013
HGNC:41,ABCB10,NM_012089,,806,ATP binding cassette subfamily B,NM_012089
HGNC:42,ABCB11,NM_003742,,806,ATP binding cassette subfamily B,NM_003742
HGNC:51,ABCC1,NM_004996,,807,ATP binding cassette subfamily C,NM_004996
HGNC:53,ABCC2,NM_000392,,807,ATP binding cassette subfamily C,NM_000392
HGNC:54,ABCC3,NM_020038,,807,ATP binding cassette subfamily C,NM_001144070
HGNC:55,ABCC4,NM_005845,,807,ATP binding cassette subfamily C,NM_001105515
HGNC:56,ABCC5,NM_005688,,807,ATP binding cassette subfamily C,NM_001023587
HGNC:59,ABCC8,NM_000352,,807,ATP binding cassette subfamily C,NM_000352
HGNC:60,ABCC9,NM_005691,,807,ATP binding cassette subfamily C,NM_005691
HGNC:52,ABCC10,NM_033450,,807|1691,ATP binding cassette subfamily C|MicroRNA protein coding host genes,NM_001198934
HGNC:14639,ABCC11,NM_032583,,807,ATP binding cassette subfamily C,NM_001370496
HGNC:14640,ABCC12,NM_033226,,807,ATP binding cassette subfamily C,NM_033226
HGNC:61,ABCD1,NM_000033,,808,ATP binding cassette subfamily D,NM_000033
HGNC:66,ABCD2,NM_005164,,808,ATP binding cassette subfamily D,NM_005164
HGNC:67,ABCD3,NM_002858,,808|1062,ATP binding cassette subfamily D|GOLD domain containing,NM_001122674
HGNC:68,ABCD4,NM_005050,,808,ATP binding cassette subfamily D,NM_001353591
HGNC:69,ABCE1,NM_002940,,809,ATP binding cassette subfamily E,NM_001040876
HGNC:71,ABCF2,NM_005692,,810,ATP binding cassette subfamily F,NM_007189
HGNC:72,ABCF3,NM_018358,,810,ATP binding cassette subfamily F,NM_001351298
HGNC:73,ABCG1,NM_207174,,811,ATP binding cassette subfamily G,NM_004915
HGNC:74,ABCG2,NM_004827,,811|454|471,ATP binding cassette subfamily G|Blood group antigens|CD molecules,NM_001257386
HGNC:13884,ABCG4,NM_022169,,811,ATP binding cassette subfamily G,NM_001142505
HGNC:13886,ABCG5,NM_022436,,811,ATP binding cassette subfamily G,NM_022436
HGNC:13887,ABCG8,NM_022437,,811,ATP binding cassette subfamily G,NM_001357321
HGNC:17553,ABHD1,NM_032604,,4,Abhydrolase domain containing,NM_032604
HGNC:21396,ABHD5,NM_016006,,4,Abhydrolase domain containing,NM_001355186
HGNC:23759,ABHD8,NM_024527,,4,Abhydrolase domain containing,NM_024527
HGNC:25656,ABHD10,NM_018394,,4,Abhydrolase domain containing,NM_001272069
HGNC:20293,ABHD13,NM_032859,,4,Abhydrolase domain containing,NM_032859
HGNC:24538,ABHD14A,NM_015407,,4,Abhydrolase domain containing,NM_015407
HGNC:28235,ABHD14B,NM_032750,,4,Abhydrolase domain containing,NM_001146314
HGNC:26971,ABHD15,NM_198147,,4,Abhydrolase domain containing,NM_198147
HGNC:28756,ABHD17A,NM_031213,,4|1749,Abhydrolase domain containing|Depalmitoylases,NM_001130111
HGNC:24278,ABHD17B,NM_016014,,4|1749,Abhydrolase domain containing|Depalmitoylases,NM_001025780
HGNC:26925,ABHD17C,NM_021214,,4|1749,Abhydrolase domain containing|Depalmitoylases,NM_021214
HGNC:26111,ABHD18,NM_001039717,,4,Abhydrolase domain containing,NM_001039717
HGNC:11320,ABI1,NM_005470,,,,NM_001012750
HGNC:24011,ABI2,NM_005759,,1793,SCAR/WAVE complex,NM_001282925
HGNC:29859,ABI3,NM_016428,,,,NM_001135186
HGNC:1364,ABITRAM,NM_017832,,,,NM_017832
HGNC:76,ABL1,NM_007313,,741|1463,SH2 domain containing|Abl family tyrosine kinases,NM_005157
HGNC:77,ABL2,NM_005158,,741|1463,SH2 domain containing|Abl family tyrosine kinases,NM_001136000
HGNC:19195,ABLIM2,NM_001130083,,1218|1691,LIM domain containing|MicroRNA protein coding host genes,NM_001130083
